"identifikaator";"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"https://takis.tarbijakaitseamet.ee/avalik/poordumised";"Eiseteenindus.rahulolu";36.79;"Eiseteenindus";"rahulolu"
"MA-038";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.rahulolu";83;"Eiseteenindus";"rahulolu"
"MA-035";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.rahulolu";83;"Eiseteenindus";"rahulolu"
"MA-037";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.rahulolu";83;"Eiseteenindus";"rahulolu"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"https://takis.tarbijakaitseamet.ee/avalik/poordumised";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"MA-038";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.halduskulu";0;"Eiseteenindus";"halduskulu"
"MA-035";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"MA-037";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.halduskulu";NA;"Eiseteenindus";"halduskulu"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"https://takis.tarbijakaitseamet.ee/avalik/poordumised";"Eiseteenindus.ajakulu";0;"Eiseteenindus";"ajakulu"
"MA-038";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.ajakulu";0.1;"Eiseteenindus";"ajakulu"
"MA-035";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.ajakulu";0.1;"Eiseteenindus";"ajakulu"
"MA-037";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenindus.mnt.ee/main.jsf";"Eiseteenindus.ajakulu";0.1;"Eiseteenindus";"ajakulu"
"RIA-015";"Riigi infosüsteemide kasutamine";"Volikiri";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.osutamistearv";15262;"Eesti";"osutamistearv"
"MKM-030";"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Eesti.osutamistearv";NA;"Eesti";"osutamistearv"
