"nimetus";"allasutus";"link";"variable";"value";"kanal";"naitaja"
"Ettevõtja otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Eesti.osutamistearv";NA;"Eesti";"osutamistearv"
"Autoriseerimine";"Riigi Infosüsteemi Amet (RIA)";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.rahulolu";0;"Eesti";"rahulolu"
"Ettevõtja otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Eesti.rahulolu";NA;"Eesti";"rahulolu"
"Autoriseerimine";"Riigi Infosüsteemi Amet (RIA)";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.halduskulu";0;"Eesti";"halduskulu"
"Ettevõtja otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Eesti.halduskulu";NA;"Eesti";"halduskulu"
"Autoriseerimine";"Riigi Infosüsteemi Amet (RIA)";"https://www.eesti.ee/est/teenused/ettevotja/autoriseerimine_1";"Eesti.ajakulu";0;"Eesti";"ajakulu"
"Ettevõtja otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Eesti.ajakulu";NA;"Eesti";"ajakulu"
"Kliendi infopäringutele vastamine";"Maanteeamet";"http://www.mnt.ee/index.php?id=10662";"Epost.osutamistearv";20000;"Epost";"osutamistearv"
"Kliendi infopäringutele vastamine";"Maanteeamet";"http://www.mnt.ee/index.php?id=10662";"Epost.rahulolu";NA;"Epost";"rahulolu"
"Kliendi infopäringutele vastamine";"Maanteeamet";"http://www.mnt.ee/index.php?id=10662";"Epost.halduskulu";NA;"Epost";"halduskulu"
"Kliendi infopäringutele vastamine";"Maanteeamet";"http://www.mnt.ee/index.php?id=10662";"Epost.ajakulu";NA;"Epost";"ajakulu"
"Küsimus/kaebus tarbijakaitseametile";"Tarbijakaitseamet";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.osutamistearv";24535;"Telefon";"osutamistearv"
"Kliendi infopäringutele vastamine";"Maanteeamet";"http://www.mnt.ee/index.php?id=10662";"Telefon.osutamistearv";123902;"Telefon";"osutamistearv"
"Küsimus/kaebus tarbijakaitseametile";"Tarbijakaitseamet";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.rahulolu";0;"Telefon";"rahulolu"
"Kliendi infopäringutele vastamine";"Maanteeamet";"http://www.mnt.ee/index.php?id=10662";"Telefon.rahulolu";NA;"Telefon";"rahulolu"
"Küsimus/kaebus tarbijakaitseametile";"Tarbijakaitseamet";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.halduskulu";71944;"Telefon";"halduskulu"
"Kliendi infopäringutele vastamine";"Maanteeamet";"http://www.mnt.ee/index.php?id=10662";"Telefon.halduskulu";NA;"Telefon";"halduskulu"
"Küsimus/kaebus tarbijakaitseametile";"Tarbijakaitseamet";"http://www.tarbijakaitseamet.ee/et/ametist/kaebuse-infoparingu-voi-teabenoude-esitamine";"Telefon.ajakulu";0.07;"Telefon";"ajakulu"
"Kliendi infopäringutele vastamine";"Maanteeamet";"http://www.mnt.ee/index.php?id=10662";"Telefon.ajakulu";NA;"Telefon";"ajakulu"
"Mittevastavast mõõtevahedist teavitamine läbi TJA kodulehe";"Tehnilise Järelevalve Amet";"http://www.tja.ee/poordu-ameti-poole";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Menetlustaotluste menetlemine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/poordu-ameti-poole/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Tegevuseeskirjade kooskõlastamine ja kinnitamine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/poordu-ameti-poole/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Raudteevõrgustiku teadaannete heakskiitmine";"Tehnilise Järelevalve Amet";"http://www.tja.ee/raudteevorgustiku-teadaanded/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Hüdrograafia Infosüsteem (HIS)";"Veeteede Amet";"http://195.80.112.238:8080/HIS/Avalik?REQUEST=Main";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"DVK universaalkliendi (UK) tarkvara allalaadimine";"Riigi Infosüsteemi Amet (RIA)";"https://svn.eesti.ee/projektid/dvk/client/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"ID-kaardi veahalduskeskkond";"Riigi Infosüsteemi Amet (RIA)";"https://stash.ria.ee/projects/BAAS";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"RIHA kooskõlastamine";"Riigi Infosüsteemi Amet (RIA)";"https://riha.eesti.ee/riha/main";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Turuanalüüside küsimustikud";"Konkurentsiamet";"http://www.konkurentsiamet.ee/?id=10731";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Teabenõue Konkurentsiametile";"Konkurentsiamet";"http://www.konkurentsiamet.ee/?id=14157";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Ettepanek, kaebus Lennuametile";"Lennuamet";"http://www.ecaa.ee/index.php?id=594";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Teabenõude esitamine Lennuametile";"Lennuamet";"http://www.ecaa.ee/teabenoue";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Hinnang Lennuameti järelevalvele";"Lennuamet";"http://www.ecaa.ee/index.php?id=168017";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Tagasiside Lennuametile";"Lennuamet";"http://www.ecaa.ee/index.php?id=53286";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Avalike teenuste pakkumise arendamiseks toetuse andmise";"Majandus- ja Kommunikatsiooniministeerium";"https://www.ria.ee/avalike-teenuste-arendamine-sf/";"Veebileht.osutamistearv";0;"Veebileht";"osutamistearv"
"Teenuste kirjeldamine teenuste kataloogis";"Majandus- ja Kommunikatsiooniministeerium";"www.riigiteenused.ee";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Läänemere Strateegia programm";"Majandus- ja Kommunikatsiooniministeerium";"https://www.mkm.ee/et/tegevused-eesmargid/infouhiskond/infouhiskonna-teenused";"Veebileht.osutamistearv";1;"Veebileht";"osutamistearv"
"Mereentsüklopeedia";"Veeteede Amet";"http://mereviki.vta.ee/mediawiki/index.php/Esileht";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Struktuurfondide IKT rahastustaotluse esitamine";"Riigi Infosüsteemi Amet (RIA)";"https://www.eesti.ee/portaal/pjis.struktuuritoetus";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Lennuohutust mõjutavast juhtumist teatamine";"Lennuamet";"http://www.ecaa.ee/lennuohutust-mojutavast-juhtumist-teatamine-2";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Teenuste otsing teenuste kataloogist";"Majandus- ja Kommunikatsiooniministeerium";"https://www.mkm.ee/et/teenuste-otsing";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Inglise-eesti meresõnaraamat";"Veeteede Amet";"http://www.eki.ee/dict/meri/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Laevade opereerimisega seotud dokumentide edastamine";"Veeteede Amet";"https://www.emde.ee/vi-iloginedit";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Haridussilm.ee - haridus- ja teadusstatistika avaldamine";"Haridus- ja Teadusministeerium";"http://haridussilm.ee/";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Koolieelsete lasteasutuste tegevus- või koolitusloa väljastamine";"Haridus- ja Teadusministeerium";"https://www.hm.ee/et/tegevused/valishindamine/koolitus-voi-tegevusluba";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
